@relation matoll
@attribute 'normalizedFrequency' numeric
@attribute 'averageLenght' numeric
@attribute 'overallRatioLabel' numeric
@attribute 'numberPattern' numeric
@attribute 'overallRatioEntries' numeric
@attribute 'SPARQLPattern_EN_7' {0,1}
@attribute 'SPARQLPattern_EN_8' {0,1}
@attribute 'SPARQLPattern_EN_1' {0,1}
@attribute 'SPARQLPattern_EN_2' {0,1}
@attribute 'SPARQLPattern_EN_3' {0,1}
@attribute 'SPARQLPattern_EN_4' {0,1}
@attribute 'SPARQLPattern_EN_5' {0,1}
@attribute 'pos_adjective' {0,1}
@attribute 'pos_commonNoun' {0,1}
@attribute 'pos_verb' {0,1}
@attribute 'class' {0,1}
@data
23,60.0,0.7931034482758621,1,0.45098039215686275,1,0,0,0,0,0,0,0,1,0,1
1,70.0,0.14285714285714285,1,0.058823529411764705,0,0,0,0,0,0,1,1,0,0,1
6,107.0,0.14285714285714285,1,0.029556650246305417,1,0,0,0,0,0,0,0,1,0,1
1,136.0,0.023809523809523808,1,0.007751937984496124,0,0,0,1,0,0,0,0,1,0,1
2,147.0,0.047619047619047616,1,0.0076045627376425855,1,0,0,0,0,0,0,0,1,0,1
9,92.0,0.21428571428571427,1,0.12162162162162163,1,0,0,0,0,0,0,0,1,0,1
2,54.0,0.2,1,4.4553352639786146E-4,0,0,0,0,0,0,1,1,0,0,1
7,31.0,0.7777777777777778,1,0.08235294117647059,0,0,0,0,0,0,1,1,0,0,1
2,126.0,0.2857142857142857,1,0.00909090909090909,0,0,1,0,0,0,0,0,0,1,1
3,98.0,0.5,1,0.12,0,0,0,0,0,0,1,1,0,0,1
1,99.0,0.1,1,0.3333333333333333,0,0,0,0,0,0,1,1,0,0,1
2,114.0,0.03125,1,0.125,0,0,0,1,0,0,0,0,1,0,1
1,155.0,1.0,1,0.017543859649122806,0,0,1,0,0,0,0,0,0,1,1
1,68.0,0.5,1,0.0014265335235378032,0,0,1,0,0,0,0,0,0,1,1
19,30.0,0.11585365853658537,1,0.01486697965571205,0,0,0,0,0,0,1,1,0,0,1
2,47.0,0.012195121951219513,1,0.029411764705882353,0,0,0,0,0,0,1,1,0,0,1
10,46.0,0.06097560975609756,1,0.05747126436781609,0,0,0,0,0,0,1,1,0,0,1
23,47.0,0.1402439024390244,1,0.04842105263157895,0,0,0,0,0,0,1,1,0,0,1
2,122.0,0.5,1,0.0076045627376425855,0,0,1,0,0,0,0,0,0,1,1
1,75.0,0.5,1,0.0012077294685990338,0,1,0,0,0,0,0,1,0,0,1
2,34.0,0.6666666666666666,1,0.004319654427645789,0,0,1,0,0,0,0,0,0,1,1
4,32.0,0.21052631578947367,1,8.910670527957229E-4,0,0,0,0,0,0,1,1,0,0,1
6,79.0,0.3157894736842105,1,0.35294117647058826,0,0,0,0,0,0,1,1,0,0,1
33,37.0,0.8918918918918919,1,0.03707865168539326,0,0,1,0,0,0,0,0,0,1,1
1,116.0,0.16666666666666666,1,0.015151515151515152,0,0,1,0,0,0,0,0,0,1,1
1,97.0,1.0,1,0.011627906976744186,0,0,1,0,0,0,0,0,0,1,1
1,116.0,1.0,1,2.2276676319893073E-4,0,0,0,0,0,0,1,1,0,0,1
2,68.0,0.5,1,0.007905138339920948,1,0,0,0,0,0,0,0,1,0,1
1,152.0,1.0,1,0.0011235955056179776,0,0,1,0,0,0,0,0,0,1,1
1,107.0,0.034482758620689655,1,0.005434782608695652,0,1,0,0,0,0,0,1,0,0,1
3,69.0,0.10344827586206896,1,0.014423076923076924,0,1,0,0,0,0,0,1,0,0,1
2,69.0,0.06896551724137931,1,0.0136986301369863,0,1,0,0,0,0,0,1,0,0,1
1,78.0,0.034482758620689655,1,0.0026666666666666666,0,1,0,0,0,0,0,1,0,0,1
3,78.0,0.10344827586206896,1,0.008021390374331552,0,1,0,0,0,0,0,1,0,0,1
3,69.0,0.10344827586206896,1,0.002364066193853428,0,1,0,0,0,0,0,1,0,0,1
1,77.0,1.0,1,0.0049261083743842365,0,0,1,0,0,0,0,0,0,1,1
1,142.0,1.0,1,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,1
1,102.0,0.5,1,0.011627906976744186,0,0,1,0,0,0,0,0,0,1,1
2,143.0,0.13333333333333333,1,0.011904761904761904,0,0,0,0,0,0,1,1,0,0,1
1,192.0,0.5,1,0.001277139208173691,0,0,1,0,0,0,0,0,0,1,1
1,139.0,0.5,1,0.011494252873563218,0,1,0,0,0,0,0,1,0,0,1
1,127.0,0.5,1,0.007692307692307693,0,1,0,0,0,0,0,1,0,0,1
3,63.0,1.0,1,6.683002895967921E-4,0,0,0,0,0,0,1,1,0,0,1
2,62.0,1.0,1,0.0392156862745098,1,0,0,0,0,0,0,0,1,0,1
1,151.0,0.1111111111111111,1,0.008130081300813009,0,0,1,0,0,0,0,0,0,1,1
1,209.0,0.01639344262295082,1,0.025,0,0,0,0,0,0,1,1,0,0,1
5,71.0,0.024154589371980676,1,0.07352941176470588,0,0,0,0,0,0,1,1,0,0,1
11,71.0,0.05314009661835749,1,0.06321839080459771,0,0,0,0,0,0,1,1,0,0,1
